ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Bibliographic Reference,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description Type,Document,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Type,Keyword,Language_Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
8b864b00-1498-0138-c571-740f24312a1c,Postal Address,St. Clement,Parish," Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2018-03-12,,,,,Listed building,Government of Jersey,CL0009,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Seaforth, La Grande Route de la Côte",,0200009,GEOMETRYCOLLECTION (POINT (-2.064214 49.167839)),,Seaforth,
049ef1f0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-19,,,,,Listed building,Government of Jersey,HE0075,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"26, Burrard Street",,0400075,GEOMETRYCOLLECTION (POINT (-2.105737 49.186055)),,26,
d36decc0-3afe-0138-16a5-740f24312a1c,Postal Address,St. Saviour,Parish,"Romeril, L. 2010. What's Your Street's Story?: St Saviour’s Hill and Road. [Unpublished talk] ",,,2020-01-30,,,,,Listed building,Government of Jersey,SA0245,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"116, St Saviour's Road",,1100245,GEOMETRYCOLLECTION (POINT (-2.097138 49.189687)),,116,
50818ad0-116c-0138-9150-740f24312a1c,Postal Address,St. Brelade,Parish,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",,,2019-07-26,,,,,Listed building,Government of Jersey,BR0291,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"Berry House, La Rue du Crocquet",,0100291,GEOMETRYCOLLECTION (POINT (-2.170545 49.18872)),,Berry House,
04de8e90-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Le Cornu, J.F. 1934. Les Moulins A Eau De Jersey. Annual Bulletin of the Société Jersiaise, 12, 247-256. Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,2019-11-20,,,,,,,,,1. Société Jersiaise,,1. Sites and Monuments Database,"Mill,Richmond Map",,"Site of Le Moulin de la Ville, Town Mills",,0400709,GEOMETRYCOLLECTION (POINT (-2.099897 49.194869)),,Site of Le Moulin de la Ville,
04ae84a0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Balleine, G.R. & Stevens J (ed.) 1970. The Bailiwick of Jersey. Hodder & Stroughton, London. Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. France, N. (n.d.) St Thomas' Church (La Cathédrale) Jersey. Pitkin Publishing, Great Britain.  France, N.J. 1999. St Thomas' Catholic Church: St Helier, Jersey: a blend of the old with the new.  France, R. 2013. Guide to Windows and Statues in St Thomas' Church. [Booklet] Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Messager, J.L. 1961. The Story and Description of St Thomas' Catholic Church: St Helier, Jersey, Channel Islands. [Booklet] Smith, G. 2007. The reordering of the Church of St Thomas, St Helier, Jersey; Architects for reordering: Smith & Roper. Church building, 106,  4-10. The Architectural History Practice Ltd. 2007. Report on St Thomas' Church. Unpublished report.",,,2019-08-29,,,,,Listed building,Government of Jersey,HE0489,,1. Government of Jersey 2. Société Jersiaise Photographic Archive 3. Jersey Archive 4. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Photographs (sample of collection: SJPA/001804, SJPA/001806) 3. Photographs (sample of collection: L/A/75/A3/1/1158, L/A/75/A3/1/2732), Booklet (L/F/454/A2/15) 4. Sites and Monuments Database",Place of Worship,,"St Thomas Church, Val Plaisant",,0400489,GEOMETRYCOLLECTION (POINT (-2.105646 49.188783)),,St Thomas Church,
2998e810-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham,",,,2020-02-04,,,,,,,,,,,,Richmond Map,,"La Rosiere , Bagot Road",,1100290,GEOMETRYCOLLECTION (POINT (-2.090601 49.179679)),,La Rosiere ,
84fb9380-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Anthony, R. 2001. Grouville, Jersey. The History of a Country Parish. Parish of Grouville, Jersey. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-12-02,,,,,Listed building,Government of Jersey,GR0222,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Glenmore, Gorey Village Main Road",,0300222,GEOMETRYCOLLECTION (POINT (-2.033702 49.196283)),,Glenmore,
fcb083d0-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 08.11.2018)  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",,,2018-12-20,,,,,,,,,,,,,,"Datestone '1818', La Rue du Val de la Mare",,0900324,GEOMETRYCOLLECTION (POINT (-2.215983 49.218223)),,Datestone '1818',
fca542b0-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",,,2018-12-18,,,,,Listed building,Government of Jersey,OU0074,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"Homely Cottage, Le Mont de la Grève de Lecq",,0900074,GEOMETRYCOLLECTION (POINT (-2.201485 49.244981)),,Homely Cottage,
