ResourceID,Activity Type,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Cadastral Reference,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,From Date,Geometry Qualifier,Keyword,Name,Name Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,To Date
0bd32eb0-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0062,,,,Leda House,,"Leda House, La Rue de la Fontaine St Martin",,0600062,GEOMETRYCOLLECTION (POINT (-2.152638 49.218762)),,,
2eede110-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0088,,,,Manleys,,"Manleys, Le Mont Fallu",,1000088,GEOMETRYCOLLECTION (POINT (-2.170233 49.211069)),,,
8b711150-1498-0138-c570-740f24312a1c,,Postal Address,St. Clement,Parish,,,,,,,,,,,"Coastal Fortification,Richmond Map",Site of Le Bourg Watch House,,"Site of Le Bourg Watch House, Pontac Common",,0200195,GEOMETRYCOLLECTION (POINT (-2.04995 49.169316)),,,
f15a03a0-1168-0138-9140-740f24312a1c,,Postal Address,St. Mary ,Parish,,,,,,,,,,,Richmond Map,Oakleigh,,"Oakleigh, La Rue ès Bouefs",,0800136,GEOMETRYCOLLECTION (POINT (-2.159097 49.227686)),,,
f15b6530-1168-0138-9140-740f24312a1c,,Field Number,St. Mary ,Parish,,,,,,,,,,,,Perry Farm Lithic Scatter,,"Perry Farm Lithic Scatter, Field MY836A",,0800177,GEOMETRYCOLLECTION (POINT (-2.1632 49.232034)),,,
04635d30-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0856,,,,22,,"22, Chevalier Road",,0400856,GEOMETRYCOLLECTION (POINT (-2.10171 49.18846)),,,
b366f770-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0040,,,Richmond Map,Bras De Fer,,"Bras De Fer, La Rue de la Hauteur",,1200040,GEOMETRYCOLLECTION (POINT (-2.102745 49.211197)),,,
045f50c0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0741/HE0761,,,,1-2 Winchester Villas,,"1-2 Winchester Villas, Winchester Street",,0400741,GEOMETRYCOLLECTION (POINT (-2.104293 49.188539)),,,
04463ef0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0058,,,,Hazeldene,,"Hazeldene, Brighton Road",,0400058,GEOMETRYCOLLECTION (POINT (-2.107051 49.192143)),,,
84debcf0-1168-0138-913a-740f24312a1c,,Field Number,Grouville,Parish,,,,,,,,,,,German Occupation,Site of Resistance Nest Höhe 212,,"Site of Resistance Nest Höhe 212, Field G68A",,0300204,GEOMETRYCOLLECTION (POINT (-2.041249 49.196564)),,,
06210930-116c-0138-9143-740f24312a1c,,Field Number,St. Martin,Parish,,,,,,,,,,,German Occupation,Site of Resistance Nest Höhe 313,,"Site of Resistance Nest Höhe 313, Field MN13",,0700146,GEOMETRYCOLLECTION (POINT (-2.063238 49.232649)),,,
046d3570-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1141,,,,20,,"20, Journeaux Street",,0401141,GEOMETRYCOLLECTION (POINT (-2.107409 49.188707)),,,
04842b80-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,,,,,,,11,,"11, Caledonia Place",,0400195,GEOMETRYCOLLECTION (POINT (-2.107715 49.181911)),,,
50600d00-116c-0138-914f-740f24312a1c,,Postal Address,St. Brelade,Parish,,,,,,Listed building,Government of Jersey,BR0360,,,,Le Bouillon,,"Le Bouillon, La Rue des Landes",,0100360,GEOMETRYCOLLECTION (POINT (-2.181164 49.199938)),,,
04872190-149c-0138-c573-740f24312a1c,Archaeological Excavation,Postal Address,St. Helier,Parish,,An excavation was undertaken by Société Jersiaise in November 1979. ,Archaeological Excavation,,,,,,,,,Site of Shipbuilding Yard,,"Site of Shipbuilding Yard, Le Havre des Pas",,0400678,GEOMETRYCOLLECTION (POINT (-2.09776 49.176898)),,,
045a0e10-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0589,,,Manor House,Fern Hill,,"Fern Hill, La Grande Route de Mont à l'Abbé",,0400589,GEOMETRYCOLLECTION (POINT (-2.116091 49.206716)),,,
8b6f8aa0-1498-0138-c570-740f24312a1c,,Postal Address,St. Clement,Parish,,,,,,,,,,,Railway,Site of Pontac Railway Station ,,"Site of Pontac Railway Station , St. Clement's Coast Road",Demolished - a new house stands in its place. ,0200154,GEOMETRYCOLLECTION (POINT (-2.053938 49.169467)),,,
046eca20-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1194,,,,Victorian Stink Pipe,,"Victorian Stink Pipe, Le Mont de la Trinité",,0401194,GEOMETRYCOLLECTION (POINT (-2.101326 49.194576)),,,
8b6ea3a0-1498-0138-c570-740f24312a1c,,Postal Address,St. Clement,Parish,,,,,,Listed building,Government of Jersey,CL0129,,,Richmond Map,Glendale,,"Glendale, La Rue du Hocq",,0200129,GEOMETRYCOLLECTION (POINT (-2.062528 49.169167)),,,
0bd1c3a0-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0024,,,,Bu de la Rue,,"Bu de la Rue, La Route de St Jean",,0600024,GEOMETRYCOLLECTION (POINT (-2.126605 49.216934)),,,
0472dad0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1310,,,Richmond Map,4,,"4, Pitt Street",,0401310,GEOMETRYCOLLECTION (POINT (-2.10864 49.185306)),,,
