ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
0bd373c0-116c-0138-9146-740f24312a1c,Parish,Listed building,,,,,"Stamford House, Le Pissot",,GEOMETRYCOLLECTION (POINT (-2.157358 49.220176)),Postal Address,Richmond Map,,St. Lawrence,,,,Stamford House,0600067,,,,Government of Jersey,LA0067,
0454a000-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"12-14, Beresford Street",,GEOMETRYCOLLECTION (POINT (-2.103445 49.185144)),Postal Address,,,St. Helier,,,,12-14,0400442,,,,Government of Jersey,HE0442,
50556090-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Batterie Hindenburg, La Route Orange",,GEOMETRYCOLLECTION (POINT (-2.210129 49.190449)),Postal Address,German Occupation,,St. Brelade,,,,Site of Batterie Hindenburg,0100096,,,,,,
f157f5d0-1168-0138-9140-740f24312a1c,Parish,Listed building,,,,,"Perry Farm, La Rue du Maistre",,GEOMETRYCOLLECTION (POINT (-2.163546 49.231681)),Postal Address,Richmond Map,,St. Mary ,,,,Perry Farm,0800085,,,,Government of Jersey,MY0085,
04787840-149c-0138-c573-740f24312a1c,Parish,,,,,,"Post Box No.99, Royal Square",,GEOMETRYCOLLECTION (POINT (-2.105245 49.183714)),Postal Address,,,St. Helier,,,,Post Box No.99,0401419,,,,,HE1422,
0bdb4210-116c-0138-9146-740f24312a1c,Parish,,,,,,"Veslet Lodge, La Ruette d'Avranches",,GEOMETRYCOLLECTION (POINT (-2.149288 49.223413)),Postal Address,Richmond Map,,St. Lawrence,,,,Veslet Lodge,0600142,,,,,,
fc827be0-149c-0138-c576-740f24312a1c,Parish,Listed building,,,,,"Resistance Nest Doktorhaus, Command and Observation Post, , Le Mont Matthieu",,GEOMETRYCOLLECTION (POINT (-2.21444 49.221791)),Postal Address,German Occupation,,St. Ouen,,,,"Resistance Nest Doktorhaus, Command and Observation Post, ",0900182,,,,Government of Jersey,OU0182,
84dee1f0-1168-0138-913a-740f24312a1c,Parish,,,,,,"Site of Shipbuilding Yard, La Grande Route des Sablons",,GEOMETRYCOLLECTION (POINT (-2.031673 49.176003)),Postal Address,,,Grouville,,,,Site of Shipbuilding Yard,0300214,,,,,,
045d6460-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"The Peirson, Royal Square",,GEOMETRYCOLLECTION (POINT (-2.105127 49.184039)),Postal Address,Richmond Map,,St. Helier,,,,The Peirson,0400681,,,,Government of Jersey,HE0681,
04585bb0-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"9, Beresford Street",,GEOMETRYCOLLECTION (POINT (-2.103691 49.185392)),Postal Address,,,St. Helier,,,,9,0400540,,,,Government of Jersey,HE0540,
