ResourceID,Title,Place Description,Language_Type,Geometry Qualifier,Title Type,Keyword,Address Type,Temporal Coverage Timespan,Administrative Subdivision Name,External XRef,Administrative Subdivision Type,Place Address,Copyright Description,Copyright Type,Primary Reference Number,Description,External Identifier Type,Information Carrier Format Type,Spatial Coordinates Geometry,Date of Publication,Information Carrier,Date of Creation,Bibliographic Reference,External Source,Document,Information Resource Type,Description Type
46aeed40-116c-0138-914a-740f24312a1c,Beau Reveil,,,,,,Postal Address,,St. John,JN0169,Parish,"Beau Reveil, La Route des Issues",,,0500169,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.130601 49.244231)),,1. Jersey Archive 2. Government of Jersey,2018-03-23,,Government of Jersey,,"1. Treasure Survey (L/A/06/H/3) 2. Listing photographs, Historic Environment Resurvey",
8b895a10-1498-0138-c571-740f24312a1c,Don Gruchy Stone,,,,,,Postal Address,,St. Clement,CL0077,Parish,"Don Gruchy Stone, La Rue au Long (Field C238) ",,,0200077,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.040257 49.173958)),,1. Government of Jersey,2018-03-12,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
2f154de0-1168-0138-9138-740f24312a1c,Alexandre Farm,,,,,Richmond Map,Postal Address,,St. Peter,PE0273,Parish,"Alexandre Farm, La Rue du Val de la Mare du Sud",,,1000273,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.210152 49.205025)),,1. Government of Jersey,2018-08-30,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
04dcd3f0-149c-0138-c574-740f24312a1c,La Ferme,,,,,Richmond Map,Postal Address,,St. Helier,,Parish,"La Ferme, Les Grands Vaux",,,0400391,,,,GEOMETRYCOLLECTION (POINT (-2.089975 49.204868)),,,,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",,,,
46b179e0-116c-0138-914a-740f24312a1c,Datestone '1751',,,,,,Postal Address,,St. John,,Parish,"Datestone '1751', La Rue de l'Étocquet",,,0500212,,,,GEOMETRYCOLLECTION (POINT (-2.145601 49.247202)),,,2018-03-23,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 15.02.2018) ",,,,
04ca6730-149c-0138-c574-740f24312a1c,10-12,,,,,,Postal Address,,St. Helier,HE1288,Parish,"10-12, Patriotic Place",,,0401288,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.113589 49.186954)),,1. Government of Jersey,2019-10-14,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
84fff810-1168-0138-913b-740f24312a1c,Site of Moulin de Malet,,,,,Mill,Field Number,,Grouville,,Parish,"Site of Moulin de Malet, Field G211",,,0300274,,,,GEOMETRYCOLLECTION (POINT (-2.047311 49.190117)),,1. Société Jersiaise,2020-12-02,"Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,1. Sites and Monuments Database,
84fcf590-1168-0138-913b-740f24312a1c,La Platte Rocque,,,,,,Postal Address,,Grouville,GR0080,Parish,"La Platte Rocque, La Grande Route des Sablons",,,0300080,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.03408 49.16451)),,1. Government of Jersey 2. Jersey Heritage Art collection 3. Société Jersiaise Photographic Archive,2020-08-02,"Anthony, R. 2001. Grouville, Jersey. The History of a Country Parish. Parish of Grouville, Jersey. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Romeril, L. 2014. La Rocque. In: Romeril, L., et al. What’s Your Street’s Story? Jersey Heritage Trust, Jersey, 35-43. Romeril, L. 2016. What's Your Street's Story?: La Rocque. [Unpublished talk]",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Paintings (SJA/0000/00441, SJA/0000/00443) 3. Photographs (SJPA/000578, SJPA/000608, SJPA/001058, SJPA/008009, SJPA/008571-2)",
2f0f5720-1168-0138-9138-740f24312a1c,Mounting for Anti Aircraft Guns,,,,,German Occupation,Postal Address,,St. Peter,PE0111,Parish,"Mounting for Anti Aircraft Guns, La Rue Aleval (boundary of field 426/480 and in field 484)",,,1000111,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.169399 49.222646)),,1. Government of Jersey,2018-08-28,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
fcac92e0-149c-0138-c577-740f24312a1c,La Vielle Fontaine,,,,,Richmond Map,Postal Address,,St. Ouen,OU0249,Parish,"La Vielle Fontaine, La Profonde Rue",,,0900249,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.22638 49.243139)),,1. Government of Jersey 2. Société Jersiaise,2018-12-19,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Site and Monuments Database",
b38e34f0-149f-0138-c57a-740f24312a1c,Les Tomblènes,,,,,,,,Trinity,,Parish,Les Tomblènes,,,1200270,,,,GEOMETRYCOLLECTION (POINT (-2.075536 49.236754)),,,2018-05-22,"L'Amy, J.H. 1971. Jersey Folk Lore. Société Jersiaise, Jersey.",,,,
30c06ed0-1942-0138-c58b-740f24312a1c,,,,,,,Field Number,,Grouville,,Parish,,,,300339,,,,GEOMETRYCOLLECTION (POINT (-2.033515 49.167509)),,1. Société Jersiaise,,,,,"1. Fieldwalking cards, Sites and Monuments Database",
8b8e1020-1498-0138-c571-740f24312a1c,Datestone '1840',,,,,,Postal Address,,St. Clement,,Parish,"Datestone '1840', La Grande Route de St Clement",,,0200202,,,,GEOMETRYCOLLECTION (POINT (-2.070152 49.171552)),,,2019-11-12,,,,,
06410ff0-116c-0138-9144-740f24312a1c,Le Vivier,,,,,,Postal Address,,St. Martin,MN0106,Parish,"Le Vivier, La Grande Route de Rozel",,,0700106,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.048426 49.224046)),,1. Government of Jersey,2019-05-31,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
04bf6440-149c-0138-c574-740f24312a1c,99,,,,,,Postal Address,,St. Helier,HE0967,Parish,"99, Don Road",,,0400967,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.096552 49.180642)),,1. Government of Jersey ,2019-09-11,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
04d73c80-149c-0138-c574-740f24312a1c,11,,,,,,Postal Address,,St. Helier,HE1713,Parish,"11, Commercial Buildings",,,0401713,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.109301 49.179595)),,1. Government of Jersey 2. Société Jersiaise,2019-10-28,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Quintaine, R. 2016. What's Your Street's Story?: Weighbridge [Unpublished talk] Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",
f1776ba0-1168-0138-9141-740f24312a1c,Artefact Scatter Area,,,,,,Field Number,,St. Mary ,MY0147,Parish,"Artefact Scatter Area, Field MY206",,,0800147,,Area of Archaeological Potential,,GEOMETRYCOLLECTION (POINT (-2.166974 49.250935)),,1. Société Jersiaise 2. Jersey Heritage Archaeology collection  3. Government of Jersey,2018-05-22,"Finch, O. & Hills, R. 2007. Jersey Heritage Archaeological Evaluation. Unpublished research for States of Jersey, Jersey. Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiase, Jersey.",Government of Jersey,,"1. Sites and Monuments Database, Fieldwalking card 2. Artefacts (A/0003350)  3. Listing photographs, Historic Environment Resurvey",
2f15c920-1168-0138-9138-740f24312a1c,Site of Conway Tower St Ouen D,,,,,"Richmond Map,Coastal Fortification",Postal Address,,St. Peter,,Parish,"Site of Conway Tower St Ouen D, La Grande Route des Mielles",,,1000097,,,,GEOMETRYCOLLECTION (POINT (-2.225419 49.214671)),,1. Société Jersiaise,2020-04-03,"Smith, F.M. 2004. The Conway Towers of Jersey; A Conservation Study. University of Bristol unpublished MA dissertation.  Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,1. Sites and Monuments Database,
2f164d30-1168-0138-9138-740f24312a1c,Beauchamp,,,,,Richmond Map,Postal Address,,St. Peter,,Parish,"Beauchamp, La Ruelle ès Ruaux",,,1000217,,,,GEOMETRYCOLLECTION (POINT (-2.163108 49.198956)),,,2018-08-29,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Rodwell, W. 1996. Notes on the architectural interest and history of three Jersey buildings: Beauchamp, Mont de Vignes, St Peter, Warehouse 17/18 Esplanade, St Helier, Warehouse, St Andrew's Court, St Helier. [Unpublished reports]",,,,
fca7a8f0-149c-0138-c577-740f24312a1c,Batterie Ludendorf,,,,,German Occupation,Postal Address,,St. Ouen,OU0153,Parish,"Batterie Ludendorf, La Cache de L'Eglise",,,0900153,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.205388 49.228656)),,1. Government of Jersey,2018-12-19,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
04d92a80-149c-0138-c574-740f24312a1c,Sun Bowls Club,,,,,,Postal Address,,St. Helier,HE1841,Parish,"Sun Bowls Club, La Route es Nouaux",,,0401841,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.126314 49.195376)),,1. Government of Jersey 2. Jersey Archive,2019-11-04,,Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Plans (D/AP1/A1060/217(2)), photographs (L/A/75/A3/5/4359)",
06468520-116c-0138-9144-740f24312a1c,La Hanniere,,,,,Richmond Map,Postal Address,,St. Martin,,Parish,"La Hanniere, La Rue du Rât",,,0700300,,,,GEOMETRYCOLLECTION (POINT (-2.057259 49.233331)),,1. Government of Jersey,,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",,,"1. Listing photographs, Historic Environment Resurvey",
0bfb3f90-116c-0138-9147-740f24312a1c,Mont Gavey ,,,,,Richmond Map,Postal Address,,St. Lawrence,,Parish,"Mont Gavey , Le Mont Gavey ",,,0600152,,,,GEOMETRYCOLLECTION (POINT (-2.132845 49.227303)),,,2020-02-07,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",,,,
508603f0-116c-0138-9150-740f24312a1c,St Bernadette's Church,,,,,Place of Worship,Postal Address,,St. Brelade,,Parish,"St Bernadette's Church, Clos de Carrel",,,0100396,,,,GEOMETRYCOLLECTION (POINT (-2.200322 49.194997)),,1. Société Jersiaise 2. Jersey Archive,2019-07-26,"Gibb, M., and Molyneux N. 1999. Post-Reformation Churches and Chapels in Jersey. [Unpublished report] Leerson, M. & White, J. 2011. What's Your Street's Story?: Les Quennevais. [Unpublished talk] Leerson, M. & White, J. 2011. Les Quennevais. In: Romeril, L., et al. What’s Your Street’s Story? Jersey Heritage Trust, Jersey, 105-113. The Architectural History Practice Ltd. 2007. Report on St Bernadette’s Church. Unpublished report.",,,"1. Sites and Monuments Database 2. Photographs (sample of collection: H/B/E5/101, H/B/E5/133, P/09/A/813)",
04c9c2e0-149c-0138-c574-740f24312a1c,13,,,,,,Postal Address,,St. Helier,HE1263,Parish,"13, The Parade",,,0401263,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.110457 49.186742)),,1. Government of Jersey,2019-10-14,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
2f0ca340-1168-0138-9138-740f24312a1c,Les Hetres,,,,,Richmond Map,Postal Address,,St. Peter,PE0033,Parish,"Les Hetres, La Route des Hêtres",,,1000033,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.180999 49.224082)),,1. Government of Jersey,2018-08-23,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
fca6bf00-149c-0138-c577-740f24312a1c,South View,,,,,Richmond Map,Postal Address,,St. Ouen,OU0114,Parish,"South View, La Route de L'Étacq",,,0900114,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.243873 49.240406)),,1. Government of Jersey,2018-12-19,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
7a3380d0-19c2-0138-c5af-740f24312a1c,Axe,,,,,,,,St. Mary,,Parish,,,,0800157,,,,,,1. Jersey Heritage Archaeology collection,2018-05-22,,,,1. Axe (A/0006143) ,
2f0cb940-1168-0138-9138-740f24312a1c,Manor Farm,,,,,Richmond Map,Postal Address,,St. Peter,PE0035,Parish,"Manor Farm, La Route du Manoir",,,1000035,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.181188 49.212933)),,1. Government of Jersey  2. Société Jersiaise Photographic Archive,2018-08-23,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Photograph (SJPA/007035) ",
